date,equity,d,g,v,iv_pct,pos
2022-07-22,1000000.0,0.0,0.0,0.0,,0
2022-07-25,1000000.0,0.0,0.0,0.0,,0
2022-07-26,1000000.0,0.0,0.0,0.0,,0
2022-07-27,1000000.0,0.0,0.0,0.0,,0
2022-07-28,1000000.0,0.0,0.0,0.0,,0
2022-07-29,1000000.0,0.0,0.0,0.0,,0
2022-08-01,1000000.0,0.0,0.0,0.0,,0
2022-08-02,1000000.0,0.0,0.0,0.0,,0
2022-08-03,1000000.0,0.0,0.0,0.0,,0
2022-08-04,1000000.0,0.0,0.0,0.0,,0
2022-08-05,1000000.0,0.0,0.0,0.0,,0
2022-08-08,1000000.0,0.0,0.0,0.0,,0
2022-08-09,1000000.0,0.0,0.0,0.0,,0
2022-08-10,1000000.0,0.0,0.0,0.0,,0
2022-08-11,1000000.0,0.0,0.0,0.0,,0
2022-08-12,1000000.0,0.0,0.0,0.0,,0
2022-08-15,1000000.0,0.0,0.0,0.0,,0
2022-08-16,1000000.0,0.0,0.0,0.0,,0
2022-08-17,1000000.0,0.0,0.0,0.0,,0
2022-08-18,1000000.0,0.0,0.0,0.0,,0
2022-08-19,1000000.0,0.0,0.0,0.0,,0
2022-08-22,1000000.0,0.0,0.0,0.0,,0
2022-08-23,1000000.0,0.0,0.0,0.0,,0
2022-08-24,1000000.0,0.0,0.0,0.0,,0
2022-08-25,1000000.0,0.0,0.0,0.0,,0
2022-08-26,1000000.0,0.0,0.0,0.0,,0
2022-08-29,1000000.0,0.0,0.0,0.0,,0
2022-08-30,1000000.0,0.0,0.0,0.0,,0
2022-08-31,1000000.0,0.0,0.0,0.0,,0
2022-09-01,1000000.0,0.0,0.0,0.0,,0
2022-09-02,1000000.0,0.0,0.0,0.0,,0
2022-09-05,1000000.0,0.0,0.0,0.0,,0
2022-09-06,1000000.0,0.0,0.0,0.0,,0
2022-09-07,1000000.0,0.0,0.0,0.0,,0
2022-09-08,1000000.0,0.0,0.0,0.0,,0
2022-09-09,1000000.0,0.0,0.0,0.0,,0
2022-09-13,1000000.0,0.0,0.0,0.0,,0
2022-09-14,1000000.0,0.0,0.0,0.0,,0
2022-09-15,1000000.0,0.0,0.0,0.0,,0
2022-09-16,1000000.0,0.0,0.0,0.0,,0
2022-09-19,1000000.0,0.0,0.0,0.0,,0
2022-09-20,1000000.0,0.0,0.0,0.0,,0
2022-09-21,1000000.0,0.0,0.0,0.0,,0
2022-09-22,1000000.0,0.0,0.0,0.0,,0
2022-09-23,1000000.0,0.0,0.0,0.0,,0
