,d,sym,act,pnl,qty,px
0,2023-02-27,mo2303Straddle@6800,SELL,0.0,,
1,2023-03-31,mo2303C6800,EXPIRE,7539.2,,
2,2023-03-31,mo2303P6800,EXPIRE,7300.0,,
3,2023-04-27,mo2305Straddle@6600,SELL,0.0,,
4,2023-05-31,mo2305C6600,EXPIRE,12900.0,,
5,2023-05-31,mo2305P6600,EXPIRE,3904.9000000000347,,
6,2023-06-27,mo2307Straddle@6600,SELL,0.0,,
7,2023-06-28,mo2307Straddle@6400,SELL,0.0,,
8,2023-07-31,mo2307C6600,EXPIRE,4520.0,,
9,2023-07-31,mo2307P6600,EXPIRE,7844.900000000015,,
10,2023-07-31,mo2307C6400,EXPIRE,1355.0999999999844,,
11,2023-07-31,mo2307P6400,EXPIRE,5860.0,,
12,2023-07-31,mo2308Straddle@6600,SELL,0.0,,
13,2023-08-02,mo2308Straddle@6400,SELL,0.0,,
14,2023-08-31,mo2308C6600,EXPIRE,6040.0,,
15,2023-08-31,mo2308P6600,EXPIRE,-35790.49999999999,,
16,2023-08-31,mo2308C6400,EXPIRE,14040.0,,
17,2023-08-31,mo2308P6400,EXPIRE,-25110.499999999993,,
18,2023-08-31,mo2309Straddle@6200,SELL,0.0,,
19,2023-10-09,mo2309C6200,EXPIRE,5160.0,,
20,2023-10-09,mo2309P6200,EXPIRE,-83.49999999998658,,
21,2023-11-27,mo2312Straddle@6200,SELL,0.0,,
22,2024-01-02,mo2312C6200,EXPIRE,3860.0,,
23,2024-01-02,mo2312P6200,EXPIRE,-19105.10000000002,,
24,2024-01-02,mo2401Straddle@5800,SELL,0.0,,
25,2024-01-05,mo2401Straddle@5600,SELL,0.0,,
26,2024-01-31,mo2401C5800,EXPIRE,10260.0,,
27,2024-01-31,mo2401P5800,EXPIRE,-94616.79999999999,,
28,2024-01-31,mo2401C5600,EXPIRE,12060.0,,
29,2024-01-31,mo2401P5600,EXPIRE,-76096.79999999999,,
30,2024-01-31,mo2402Straddle@4800,SELL,0.0,,
31,2024-02-02,mo2402Straddle@4600,SELL,0.0,,
32,2024-02-05,mo2402Straddle@4200,SELL,0.0,,
33,2024-02-29,mo2402C4800,EXPIRE,-42100.499999999956,,
34,2024-02-29,mo2402P4800,EXPIRE,18360.0,,
35,2024-02-29,mo2402C4600,EXPIRE,-64460.499999999956,,
36,2024-02-29,mo2402P4600,EXPIRE,18460.0,,
37,2024-02-29,mo2402C4200,EXPIRE,-98800.49999999996,,
38,2024-02-29,mo2402P4200,EXPIRE,18800.0,,
39,2024-02-29,mo2403Straddle@5400,SELL,0.0,,
40,2024-04-01,mo2403C5400,EXPIRE,-3705.5999999999585,,
41,2024-04-01,mo2403P5400,EXPIRE,18600.0,,
42,2024-05-28,mo2406Straddle@5400,SELL,0.0,,
43,2024-07-01,mo2406C5400,EXPIRE,7359.999999999999,,
44,2024-07-01,mo2406P5400,EXPIRE,-26715.299999999967,,
45,2024-07-01,mo2407Straddle@5000,SELL,0.0,,
46,2024-07-31,mo2407C5000,EXPIRE,6680.0,,
47,2024-07-31,mo2407P5000,EXPIRE,6308.100000000013,,
48,2024-09-27,mo2410Straddle@5200,SELL,0.0,,
49,2024-10-08,mo2410Straddle@6200,SELL,0.0,,
50,2024-10-09,mo2410Straddle@5800,SELL,0.0,,
51,2024-10-10,mo2410Straddle@5600,SELL,0.0,,
52,2024-10-11,mo2410Straddle@5400,SELL,0.0,,
53,2024-10-31,mo2410C5200,EXPIRE,-65706.29999999996,,
54,2024-10-31,mo2410P5200,EXPIRE,11560.0,,
55,2024-10-31,mo2410C6200,EXPIRE,37680.0,,
56,2024-10-31,mo2410P6200,EXPIRE,27726.29999999996,,
57,2024-10-31,mo2410C5800,EXPIRE,-13726.299999999956,,
58,2024-10-31,mo2410P5800,EXPIRE,26880.0,,
59,2024-10-31,mo2410C5600,EXPIRE,-32226.29999999996,,
60,2024-10-31,mo2410P5600,EXPIRE,13940.0,,
61,2024-10-31,mo2410C5400,EXPIRE,-53546.29999999995,,
